[0, 9]
[147, 13]
[148, 3]
[149, 6]
[150, 9]
[151, 17]
[152, 22]
[153, 5]
[154, 1]
[155, 21]
[156, 4]
[157, 16]
[158, 11]
[159, 8]
[160, 6]
[161, 18]
[162, 10]
[163, 11]
[164, 0]
[165, 10]
[166, 10]
[167, 10]
[168, 11]
[169, 14]
[170, 2]
[171, 3]
[172, 8]
[173, 5]
[174, 21]
[175, 22]
[176, 14]
[177, 6]
[178, 2]
[179, 8]
[180, 16]
[181, 2]
[182, 8]
[183, 21]
[184, 14]
[185, 21]
[186, 0]
[187, 8]
[188, 1]
[189, 6]
[190, 19]
[191, 8]
[192, 11]
[193, 21]
[194, 6]
[195, 16]
[196, 22]
[197, 1]
[198, 18]
[199, 13]
[200, 20]
[201, 5]
[202, 19]
[203, 8]
[204, 1]
[205, 7]
[206, 11]
[207, 3]
[208, 8]
[209, 22]
[210, 1]
[211, 18]
[212, 19]
[213, 15]
[214, 15]
[215, 22]
[216, 18]
[217, 16]
[218, 14]
[219, 20]
[220, 5]
[221, 7]
[222, 3]
[223, 7]
[224, 0]
[225, 22]
[226, 18]
[227, 17]
[228, 9]
[229, 4]
[230, 20]
[231, 19]
[232, 10]
[233, 7]
[234, 4]
[235, 20]
[236, 13]
[237, 13]
[238, 21]
[239, 13]
[240, 1]
[241, 9]
[242, 10]
[243, 22]
[244, 5]
[245, 21]
[246, 19]
[247, 12]
[248, 8]
[249, 11]
[250, 17]
[251, 15]
[252, 22]
[253, 4]
[254, 0]
[255, 17]
[256, 9]
[257, 0]
[258, 0]
[259, 13]
[260, 19]
[261, 12]
[262, 17]
[263, 12]
[264, 12]
[265, 19]
[266, 15]
[267, 12]
[268, 1]
[269, 21]
[270, 12]
[271, 10]
[272, 9]
[273, 9]
[274, 8]
[275, 10]
[276, 15]
[277, 16]
[278, 6]
[279, 8]
[280, 16]
[281, 9]
[282, 4]
[283, 3]
[284, 19]
[285, 6]
[286, 7]
[287, 12]
[288, 22]
[289, 10]
[290, 1]
[291, 2]
[292, 7]
[293, 9]
[294, 16]
[295, 10]
[296, 2]
[297, 21]
[298, 8]
[299, 21]
[300, 1]
[301, 14]
[302, 17]
[303, 9]
[304, 10]
[305, 4]
[306, 3]
[307, 14]
[308, 19]
[309, 1]
[310, 5]
[311, 5]
[312, 16]
[313, 5]
[314, 9]
[315, 2]
[316, 12]
[317, 14]
[318, 5]
[319, 11]
[320, 6]
[321, 7]
[322, 1]
[323, 10]
[324, 13]
[325, 8]
[326, 16]
[327, 13]
[328, 8]
[329, 13]
[330, 5]
[331, 8]
[332, 16]
[333, 0]
[334, 12]
[335, 15]
[336, 2]
[337, 2]
[338, 5]
[339, 3]
[340, 15]
[341, 5]
[342, 6]
[343, 9]
[344, 17]
[345, 12]
[346, 10]
[347, 11]
[348, 10]
[349, 7]
[350, 19]
[351, 5]
[352, 10]
[353, 15]
[354, 21]
[355, 16]
[356, 12]
[357, 21]
[358, 3]
[359, 20]
[360, 6]
[361, 5]
[362, 17]
[363, 11]
[364, 15]
[365, 7]
[366, 6]
[367, 13]
[368, 14]
[369, 11]
[370, 3]
[371, 10]
[372, 6]
[373, 16]
[374, 16]
[375, 10]
[376, 8]
[377, 19]
[378, 3]
[379, 19]
[380, 2]
[381, 13]
[382, 13]
[383, 3]
[384, 16]
[385, 15]
[386, 8]
[387, 7]
[388, 9]
[389, 21]
[390, 18]
[391, 10]
[392, 19]
[393, 17]
[394, 13]
[395, 6]
[396, 1]
[397, 2]
[398, 13]
[399, 0]
[400, 21]
[401, 13]
[402, 5]
[403, 14]
[404, 14]
[405, 10]
[406, 18]
[407, 10]
[408, 3]
[409, 16]
[410, 7]
[411, 18]
[412, 6]
[413, 22]
[414, 22]
[415, 13]
[416, 13]
[417, 22]
[418, 10]
[419, 7]
[420, 6]
[421, 1]
[422, 11]
[423, 9]
[424, 18]
[425, 15]
[426, 12]
[427, 14]
[428, 10]
[429, 11]
[430, 12]
[431, 19]
[432, 12]
[433, 5]
[434, 6]
[435, 4]
[436, 21]
[437, 7]
[438, 16]
[439, 21]
[440, 6]
[441, 11]
[442, 5]
[443, 4]
[444, 0]
[445, 0]
[446, 13]
[447, 3]
[448, 20]
[449, 5]
[450, 18]
[451, 4]
[452, 22]
[453, 20]
[454, 1]
[455, 2]
[456, 7]
[457, 18]
[458, 15]
[459, 15]
[460, 13]
[461, 20]
[462, 19]
[463, 17]
[464, 8]
[465, 14]
[466, 0]
[467, 10]
[468, 20]
[469, 22]
[470, 17]
[471, 16]
[472, 6]
[473, 1]
[474, 15]
[475, 6]
[476, 4]
[477, 8]
[478, 5]
[479, 5]
[480, 17]
[481, 13]
[482, 10]
[483, 4]
[484, 10]
[485, 10]
[486, 17]
[487, 7]
[488, 15]
[489, 14]
[490, 16]
[491, 20]
[492, 9]
[493, 15]
[494, 9]
[495, 9]
[496, 12]
[497, 3]
[498, 2]
[499, 20]
